,B-A-*-*-UB-*,B-FA-*-*-*-*,B-FZ-*-*-APR-*,B-FZ-*-*-V-*,B-Mod-*-*-*-*,B-WF-ABZ-*-FZW-*,B-WF-ABZ-*-IDZ-*,B-WF-AK-RE-FEL-*,B-WF-AK-RE-FKR-*,B-WF-AK-RS-ERx-*,B-WF-AK-RS-FA-*,B-WF-AK-RS-FBL-*,B-WF-AK-RS-FLL-SB,B-WF-AK-RS-FPD-*,B-WF-AK-RS-FPP-*,B-WF-AK-RS-FVE-*,B-WF-HP-*-IB-*,B-WF-HP-*-IFHE-*,B-WF-HP-*-IFSE-*,B-WF-HP-*-IW-*,B-WF-HP-*-IZ-*,B-WF-HP-*-PS-IBD,B-WF-HP-*-PS-IR,B-WF-HP-*-PS-IW,B-WF-Mot-*-FVW-*,B-WF-Mot-*-IAV-*,B-WF-Mot-*-IDW-*,B-WF-Mot-*-IEM-*,B-WF-RA-*-ARP-*,B-WF-RA-*-FP-*,B-WF-RA-*-FU-*,B-WF-RA-*-N-ARFa,B-WF-RA-*-N-ARFr,K-A-*-*-A-*,K-A-*-*-UB-*,K-E-*-*-ECM-*| Mitgefühl mit anderen (EC),K-E-*-*-ECS-*| Sorge um andere Person (EC),K-E-*-*-PT-*| Empathie für Dritte* bzw. bezogen auf die vorliegende Situation (PT),K-FA-*-*-A-*,K-FZ-*-*-F-*,K-FZ-*-*-NPR-*,K-WF-ABZ-*-Erw-*,K-WF-ABZ-*-Ziel-*,K-WF-AKP-*-Abl-*,K-WF-AKP-*-EG-*,K-WF-AKP-*-Nachf-*,K-WF-AKP-*-PDar-*,K-WF-AKP-*-PDef-*,K-WF-AKP-*-PPers-*,K-WF-AKP-*-RBL-*,K-WF-AKP-*-Zust-*,K-WF-HP-*-BerUH-*,K-WF-HP-*-Erf-*,K-WF-HP-*-MErf-*,K-WF-HP-*-NegRH-*,K-WF-HP-*-PosR-*,K-WF-HP-*-PosRH-*,K-WF-Mot-*-GV-*,K-WF-Mot-*-VW-*,K-WF-RA-*-RF-*,K-WF-RA-*-RP-*
B-A-*-*-UB-*,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.05,0.0,0.05,0.05,0.0,0.0,0.0,0.1,0.0,0.05,0.05,0.05,0.0,0.0,0.1,0.05,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1,0.0,0.0,0.0,0.0
B-FA-*-*-*-*,0.0,0.029411764705882353,0.014705882352941176,0.014705882352941176,0.29411764705882354,0.0,0.0,0.014705882352941176,0.0,0.0,0.04411764705882353,0.0,0.0,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014705882352941176,0.10294117647058823,0.058823529411764705,0.0,0.014705882352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.0,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.04411764705882353,0.0,0.04411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.08823529411764706,0.0,0.0,0.0,0.0,0.0
B-FZ-*-*-APR-*,0.0,0.0,0.0,0.09375,0.140625,0.0,0.0,0.0,0.0,0.0,0.015625,0.0,0.0,0.0,0.109375,0.0,0.03125,0.0,0.0,0.0,0.0,0.046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015625,0.0,0.0,0.0,0.0,0.0,0.0,0.015625,0.0,0.0,0.0625,0.140625,0.015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.203125,0.0,0.0,0.0,0.0,0.078125,0.03125,0.0,0.0,0.0,0.0
B-FZ-*-*-V-*,0.0,0.0,0.046511627906976744,0.023255813953488372,0.11627906976744186,0.0,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4418604651162791,0.023255813953488372,0.0,0.0,0.023255813953488372,0.023255813953488372,0.0,0.023255813953488372,0.0,0.0,0.0,0.06976744186046512,0.0,0.0,0.0,0.0,0.11627906976744186,0.0,0.0,0.0,0.0,0.0
B-Mod-*-*-*-*,0.003236245954692557,0.006472491909385114,0.032362459546925564,0.016181229773462782,0.06472491909385113,0.0,0.006472491909385114,0.009708737864077669,0.0,0.05177993527508091,0.05825242718446602,0.006472491909385114,0.022653721682847898,0.006472491909385114,0.1423948220064725,0.003236245954692557,0.009708737864077669,0.003236245954692557,0.019417475728155338,0.0,0.0,0.05501618122977346,0.009708737864077669,0.003236245954692557,0.003236245954692557,0.003236245954692557,0.019417475728155338,0.006472491909385114,0.006472491909385114,0.032362459546925564,0.0,0.006472491909385114,0.0,0.003236245954692557,0.003236245954692557,0.003236245954692557,0.003236245954692557,0.006472491909385114,0.006472491909385114,0.012944983818770227,0.042071197411003236,0.0,0.009708737864077669,0.006472491909385114,0.02912621359223301,0.022653721682847898,0.025889967637540454,0.022653721682847898,0.009708737864077669,0.009708737864077669,0.08414239482200647,0.003236245954692557,0.003236245954692557,0.0,0.006472491909385114,0.061488673139158574,0.0,0.0,0.003236245954692557,0.0,0.012944983818770227
B-WF-ABZ-*-FZW-*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.15384615384615385,0.15384615384615385,0.0,0.0,0.07692307692307693,0.0
B-WF-ABZ-*-IDZ-*,0.0,0.0,0.05,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.05,0.05,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0
B-WF-AK-RE-FEL-*,0.0,0.0,0.024390243902439025,0.012195121951219513,0.012195121951219513,0.012195121951219513,0.012195121951219513,0.024390243902439025,0.0,0.07317073170731707,0.024390243902439025,0.012195121951219513,0.024390243902439025,0.0,0.024390243902439025,0.0,0.012195121951219513,0.024390243902439025,0.0,0.0,0.0,0.024390243902439025,0.024390243902439025,0.0,0.012195121951219513,0.012195121951219513,0.012195121951219513,0.0,0.0,0.012195121951219513,0.012195121951219513,0.036585365853658534,0.0,0.0,0.0,0.024390243902439025,0.012195121951219513,0.0,0.0,0.0,0.0,0.024390243902439025,0.0,0.024390243902439025,0.12195121951219512,0.024390243902439025,0.08536585365853659,0.13414634146341464,0.0,0.024390243902439025,0.036585365853658534,0.0,0.0,0.0,0.0,0.024390243902439025,0.024390243902439025,0.0,0.0,0.0,0.0
B-WF-AK-RE-FKR-*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B-WF-AK-RS-ERx-*,0.03289473684210526,0.006578947368421052,0.006578947368421052,0.0,0.05263157894736842,0.006578947368421052,0.019736842105263157,0.039473684210526314,0.0,0.07894736842105263,0.013157894736842105,0.039473684210526314,0.05263157894736842,0.0,0.1513157894736842,0.006578947368421052,0.013157894736842105,0.039473684210526314,0.013157894736842105,0.0,0.0,0.019736842105263157,0.02631578947368421,0.0,0.006578947368421052,0.0,0.0,0.006578947368421052,0.013157894736842105,0.06578947368421052,0.006578947368421052,0.006578947368421052,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.006578947368421052,0.0,0.02631578947368421,0.013157894736842105,0.039473684210526314,0.019736842105263157,0.006578947368421052,0.006578947368421052,0.10526315789473684,0.006578947368421052,0.0,0.0,0.0,0.006578947368421052,0.006578947368421052,0.0,0.0,0.0,0.006578947368421052
