category,prior
B-A-*-*-UB-*,0.005722460658082976
B-FA-*-*-*-*,0.019742489270386267
B-FZ-*-*-APR-*,0.01888412017167382
B-FZ-*-*-V-*,0.017739628040057225
B-Mod-*-*-*-*,0.08869814020028613
B-WF-ABZ-*-FZW-*,0.0037195994277539344
B-WF-ABZ-*-IDZ-*,0.005722460658082976
B-WF-AK-RE-FEL-*,0.0234620886981402
B-WF-AK-RE-FKR-*,0.0005722460658082976
B-WF-AK-RS-ERx-*,0.04349070100143061
B-WF-AK-RS-FA-*,0.020314735336194562
B-WF-AK-RS-FBL-*,0.012875536480686695
B-WF-AK-RS-FLL-SB,0.014878397711015737
B-WF-AK-RS-FPD-*,0.008297567954220314
B-WF-AK-RS-FPP-*,0.05636623748211731
B-WF-AK-RS-FVE-*,0.0022889842632331904
B-WF-HP-*-IB-*,0.014592274678111588
B-WF-HP-*-IFHE-*,0.012303290414878397
B-WF-HP-*-IFSE-*,0.024606580829756794
B-WF-HP-*-IW-*,0.0005722460658082976
B-WF-HP-*-IZ-*,0.0017167381974248926
B-WF-HP-*-PS-IBD,0.05293276108726753
B-WF-HP-*-PS-IR,0.014592274678111588
B-WF-HP-*-PS-IW,0.0031473533619456365
B-WF-Mot-*-FVW-*,0.004291845493562232
B-WF-Mot-*-IAV-*,0.0020028612303290413
B-WF-Mot-*-IDW-*,0.02317596566523605
B-WF-Mot-*-IEM-*,0.01659513590844063
B-WF-RA-*-ARP-*,0.009155937052932762
B-WF-RA-*-FP-*,0.019742489270386267
B-WF-RA-*-FU-*,0.0034334763948497852
B-WF-RA-*-N-ARFa,0.005722460658082976
B-WF-RA-*-N-ARFr,0.0002861230329041488
K-A-*-*-A-*,0.004005722460658083
K-A-*-*-UB-*,0.004864091559370529
K-E-*-*-ECM-*| Mitgefühl mit anderen (EC),0.0031473533619456365
K-E-*-*-ECS-*| Sorge um andere Person (EC),0.01602288984263233
K-E-*-*-PT-*| Empathie für Dritte* bzw. bezogen auf die vorliegende Situation (PT),0.004864091559370529
K-FA-*-*-A-*,0.004005722460658083
K-FZ-*-*-F-*,0.012589413447782546
K-FZ-*-*-NPR-*,0.012303290414878397
K-WF-ABZ-*-Erw-*,0.005150214592274678
K-WF-ABZ-*-Ziel-*,0.010300429184549357
K-WF-AKP-*-Abl-*,0.01430615164520744
K-WF-AKP-*-EG-*,0.04721030042918455
K-WF-AKP-*-Nachf-*,0.03805436337625179
K-WF-AKP-*-PDar-*,0.052074391988555076
K-WF-AKP-*-PDef-*,0.036337625178826896
K-WF-AKP-*-PPers-*,0.01688125894134478
K-WF-AKP-*-RBL-*,0.024606580829756794
K-WF-AKP-*-Zust-*,0.054935622317596564
K-WF-HP-*-BerUH-*,0.0020028612303290413
K-WF-HP-*-Erf-*,0.0011444921316165952
K-WF-HP-*-MErf-*,0.001430615164520744
K-WF-HP-*-NegRH-*,0.006008583690987125
K-WF-HP-*-PosR-*,0.030901287553648068
K-WF-HP-*-PosRH-*,0.021745350500715306
K-WF-Mot-*-GV-*,0.004864091559370529
K-WF-Mot-*-VW-*,0.008297567954220314
K-WF-RA-*-RF-*,0.0031473533619456365
K-WF-RA-*-RP-*,0.00715307582260372
