category,prior
B-A-*-*-UB-*,0.00430786904078116
B-FA-*-*-*-*,0.01723147616312464
B-FZ-*-*-APR-*,0.0215393452039058
B-FZ-*-*-V-*,0.017805858701895463
B-Mod-*-*-*-*,0.08558299827685238
B-WF-ABZ-*-FZW-*,0.003733486502010339
B-WF-ABZ-*-IDZ-*,0.005169442848937392
B-WF-AK-RE-FEL-*,0.027283170591614014
B-WF-AK-RE-FKR-*,0.0008615738081562321
B-WF-AK-RS-ERx-*,0.03446295232624928
B-WF-AK-RS-FA-*,0.0215393452039058
B-WF-AK-RS-FBL-*,0.01263641585295807
B-WF-AK-RS-FLL-SB,0.015795519816197586
B-WF-AK-RS-FPD-*,0.009190120620333142
B-WF-AK-RS-FPP-*,0.06059735784032166
B-WF-AK-RS-FVE-*,0.0017231476163124641
B-WF-HP-*-IB-*,0.009764503159103963
B-WF-HP-*-IFHE-*,0.011200459506031017
B-WF-HP-*-IFSE-*,0.026421596783457783
B-WF-HP-*-IW-*,0.0005743825387708214
B-WF-HP-*-IZ-*,0.002871912693854107
B-WF-HP-*-PS-IBD,0.05198161975875933
B-WF-HP-*-PS-IR,0.01809304997128087
B-WF-HP-*-PS-IW,0.0031591039632395176
B-WF-Mot-*-FVW-*,0.003733486502010339
B-WF-Mot-*-IAV-*,0.002010338885697875
B-WF-Mot-*-IDW-*,0.027283170591614014
B-WF-Mot-*-IEM-*,0.01665709362435382
B-WF-RA-*-ARP-*,0.007754164273406089
B-WF-RA-*-FP-*,0.01751866743251005
B-WF-RA-*-FU-*,0.003733486502010339
B-WF-RA-*-N-ARFa,0.0060310166570936245
B-WF-RA-*-N-ARFr,0.0008615738081562321
K-A-*-*-A-*,0.002871912693854107
K-A-*-*-UB-*,0.0022975301550832855
K-E-*-*-ECM-*| Mitgefühl mit anderen (EC),0.002584721424468696
K-E-*-*-ECS-*| Sorge um andere Person (EC),0.010626076967260195
K-E-*-*-PT-*| Empathie für Dritte* bzw. bezogen auf die vorliegende Situation (PT),0.005456634118322803
K-FA-*-*-A-*,0.003733486502010339
K-FZ-*-*-F-*,0.01234922458357266
K-FZ-*-*-NPR-*,0.015221137277426766
K-WF-ABZ-*-Erw-*,0.0080413555427915
K-WF-ABZ-*-Ziel-*,0.013497989661114302
K-WF-AKP-*-Abl-*,0.010051694428489374
K-WF-AKP-*-EG-*,0.04709936817920735
K-WF-AKP-*-Nachf-*,0.0376220562894888
K-WF-AKP-*-PDar-*,0.05255600229753016
K-WF-AKP-*-PDef-*,0.03159103963239517
K-WF-AKP-*-PPers-*,0.015795519816197586
K-WF-AKP-*-RBL-*,0.021826536473291212
K-WF-AKP-*-Zust-*,0.05686387133831131
K-WF-HP-*-BerUH-*,0.002584721424468696
K-WF-HP-*-Erf-*,0.0014359563469270534
K-WF-HP-*-MErf-*,0.0005743825387708214
K-WF-HP-*-NegRH-*,0.005169442848937392
K-WF-HP-*-PosR-*,0.03704767375071798
K-WF-HP-*-PosRH-*,0.025847214244686962
K-WF-Mot-*-GV-*,0.003733486502010339
K-WF-Mot-*-VW-*,0.011774842044801838
K-WF-RA-*-RF-*,0.0068925904652498565
K-WF-RA-*-RP-*,0.005743825387708214
