category,prior
B-A-*-*-UB-*,0.006868918145392101
B-FA-*-*-*-*,0.01917572982255295
B-FZ-*-*-APR-*,0.021465369204350316
B-FZ-*-*-V-*,0.017458500286204923
B-Mod-*-*-*-*,0.09559244419004007
B-WF-ABZ-*-FZW-*,0.004865483686319404
B-WF-ABZ-*-IDZ-*,0.004865483686319404
B-WF-AK-RE-FEL-*,0.027761877504293073
B-WF-AK-RE-FKR-*,0.00028620492272467084
B-WF-AK-RS-ERx-*,0.041499713795077275
B-WF-AK-RS-FA-*,0.022323983972524327
B-WF-AK-RS-FBL-*,0.013451631368059531
B-WF-AK-RS-FLL-SB,0.013451631368059531
B-WF-AK-RS-FPD-*,0.01001717229536348
B-WF-AK-RS-FPP-*,0.0638236977676016
B-WF-AK-RS-FVE-*,0.0014310246136233543
B-WF-HP-*-IB-*,0.01001717229536348
B-WF-HP-*-IFHE-*,0.01030337721808815
B-WF-HP-*-IFSE-*,0.024327418431597022
B-WF-HP-*-IW-*,0.0005724098454493417
B-WF-HP-*-IZ-*,0.002003434459072696
B-WF-HP-*-PS-IBD,0.04751001717229536
B-WF-HP-*-PS-IR,0.01287922152261019
B-WF-HP-*-PS-IW,0.0028620492272467086
B-WF-Mot-*-FVW-*,0.004006868918145392
B-WF-Mot-*-IAV-*,0.0022896393817973667
B-WF-Mot-*-IDW-*,0.02575844304522038
B-WF-Mot-*-IEM-*,0.014882655981682884
B-WF-RA-*-ARP-*,0.007727532913566113
B-WF-RA-*-FP-*,0.0206067544361763
B-WF-RA-*-FU-*,0.003720663995420721
B-WF-RA-*-N-ARFa,0.004293073840870063
B-WF-RA-*-N-ARFr,0.0005724098454493417
K-A-*-*-A-*,0.004006868918145392
K-A-*-*-UB-*,0.005151688609044075
K-E-*-*-ECM-*| Mitgefühl mit anderen (EC),0.0011448196908986834
K-E-*-*-ECS-*| Sorge um andere Person (EC),0.01001717229536348
K-E-*-*-PT-*| Empathie für Dritte* bzw. bezogen auf die vorliegende Situation (PT),0.0045792787635947334
K-FA-*-*-A-*,0.0034344590726960505
K-FZ-*-*-F-*,0.013451631368059531
K-FZ-*-*-NPR-*,0.010589582140812822
K-WF-ABZ-*-Erw-*,0.008299942759015456
K-WF-ABZ-*-Ziel-*,0.01316542644533486
K-WF-AKP-*-Abl-*,0.014024041213508873
K-WF-AKP-*-EG-*,0.04636519748139668
K-WF-AKP-*-Nachf-*,0.028906697195191757
K-WF-AKP-*-PDar-*,0.054665140240412136
K-WF-AKP-*-PDef-*,0.030623926731539783
K-WF-AKP-*-PPers-*,0.01631368059530624
K-WF-AKP-*-RBL-*,0.024613623354321695
K-WF-AKP-*-Zust-*,0.059530623926731537
K-WF-HP-*-BerUH-*,0.0025758443045220377
K-WF-HP-*-Erf-*,0.0005724098454493417
K-WF-HP-*-MErf-*,0.0008586147681740126
K-WF-HP-*-NegRH-*,0.006868918145392101
K-WF-HP-*-PosR-*,0.034917000572409845
K-WF-HP-*-PosRH-*,0.02003434459072696
K-WF-Mot-*-GV-*,0.004293073840870063
K-WF-Mot-*-VW-*,0.011161991986262164
K-WF-RA-*-RF-*,0.005724098454493417
K-WF-RA-*-RP-*,0.005437893531768746
