,B-A-*-*-UB-*,B-FA-*-*-*-*,B-FZ-*-*-APR-*,B-FZ-*-*-V-*,B-Mod-*-*-*-*,B-WF-ABZ-*-FZW-*,B-WF-ABZ-*-IDZ-*,B-WF-AK-RE-FEL-*,B-WF-AK-RE-FKR-*,B-WF-AK-RS-ERx-*,B-WF-AK-RS-FA-*,B-WF-AK-RS-FBL-*,B-WF-AK-RS-FLL-SB,B-WF-AK-RS-FPD-*,B-WF-AK-RS-FPP-*,B-WF-AK-RS-FVE-*,B-WF-HP-*-IB-*,B-WF-HP-*-IFHE-*,B-WF-HP-*-IFSE-*,B-WF-HP-*-IW-*,B-WF-HP-*-IZ-*,B-WF-HP-*-PS-IBD,B-WF-HP-*-PS-IR,B-WF-HP-*-PS-IW,B-WF-Mot-*-FVW-*,B-WF-Mot-*-IAV-*,B-WF-Mot-*-IDW-*,B-WF-Mot-*-IEM-*,B-WF-RA-*-ARP-*,B-WF-RA-*-FP-*,B-WF-RA-*-FU-*,B-WF-RA-*-N-ARFa,B-WF-RA-*-N-ARFr,K-A-*-*-A-*,K-A-*-*-UB-*,K-E-*-*-ECM-*| Mitgefühl mit anderen (EC),K-E-*-*-ECS-*| Sorge um andere Person (EC),K-E-*-*-PT-*| Empathie für Dritte* bzw. bezogen auf die vorliegende Situation (PT),K-FA-*-*-A-*,K-FZ-*-*-F-*,K-FZ-*-*-NPR-*,K-WF-ABZ-*-Erw-*,K-WF-ABZ-*-Ziel-*,K-WF-AKP-*-Abl-*,K-WF-AKP-*-EG-*,K-WF-AKP-*-Nachf-*,K-WF-AKP-*-PDar-*,K-WF-AKP-*-PDef-*,K-WF-AKP-*-PPers-*,K-WF-AKP-*-RBL-*,K-WF-AKP-*-Zust-*,K-WF-HP-*-BerUH-*,K-WF-HP-*-Erf-*,K-WF-HP-*-MErf-*,K-WF-HP-*-NegRH-*,K-WF-HP-*-PosR-*,K-WF-HP-*-PosRH-*,K-WF-Mot-*-GV-*,K-WF-Mot-*-VW-*,K-WF-RA-*-RF-*,K-WF-RA-*-RP-*
B-A-*-*-UB-*,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.041666666666666664,0.0,0.041666666666666664,0.041666666666666664,0.0,0.0,0.0,0.08333333333333333,0.0,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.0,0.0,0.041666666666666664,0.08333333333333333,0.0,0.041666666666666664,0.041666666666666664,0.0,0.041666666666666664,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.125,0.0,0.0,0.0,0.0
B-FA-*-*-*-*,0.0,0.030303030303030304,0.0,0.015151515151515152,0.2878787878787879,0.0,0.0,0.06060606060606061,0.0,0.0,0.030303030303030304,0.0,0.0,0.15151515151515152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015151515151515152,0.0,0.0,0.0,0.015151515151515152,0.12121212121212122,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015151515151515152,0.0,0.0,0.015151515151515152,0.0,0.015151515151515152,0.015151515151515152,0.0,0.06060606060606061,0.0,0.045454545454545456,0.0,0.015151515151515152,0.0,0.0,0.0,0.0,0.06060606060606061,0.0,0.0,0.0,0.0,0.0
B-FZ-*-*-APR-*,0.0,0.0,0.013513513513513514,0.02702702702702703,0.13513513513513514,0.0,0.0,0.0,0.0,0.0,0.013513513513513514,0.0,0.0,0.0,0.10810810810810811,0.0,0.0,0.0,0.0,0.0,0.013513513513513514,0.0,0.0,0.013513513513513514,0.0,0.0,0.0,0.013513513513513514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013513513513513514,0.0,0.0,0.04054054054054054,0.1891891891891892,0.013513513513513514,0.0,0.0,0.0,0.0,0.013513513513513514,0.0,0.0,0.0,0.20270270270270271,0.0,0.0,0.0,0.013513513513513514,0.12162162162162163,0.05405405405405406,0.0,0.0,0.0,0.0
B-FZ-*-*-V-*,0.0,0.0,0.07142857142857142,0.023809523809523808,0.09523809523809523,0.0,0.0,0.023809523809523808,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.11904761904761904,0.023809523809523808,0.0,0.0,0.0,0.0
B-Mod-*-*-*-*,0.003003003003003003,0.006006006006006006,0.042042042042042045,0.021021021021021023,0.06306306306306306,0.006006006006006006,0.012012012012012012,0.024024024024024024,0.0,0.04804804804804805,0.06006006006006006,0.006006006006006006,0.02702702702702703,0.018018018018018018,0.15015015015015015,0.0,0.009009009009009009,0.006006006006006006,0.02702702702702703,0.0,0.003003003003003003,0.04804804804804805,0.003003003003003003,0.0,0.0,0.006006006006006006,0.018018018018018018,0.012012012012012012,0.0,0.03903903903903904,0.0,0.0,0.0,0.003003003003003003,0.003003003003003003,0.003003003003003003,0.0,0.003003003003003003,0.006006006006006006,0.015015015015015015,0.012012012012012012,0.009009009009009009,0.003003003003003003,0.006006006006006006,0.024024024024024024,0.036036036036036036,0.021021021021021023,0.006006006006006006,0.009009009009009009,0.009009009009009009,0.08108108108108109,0.003003003003003003,0.0,0.0,0.009009009009009009,0.06006006006006006,0.003003003003003003,0.0,0.003003003003003003,0.006006006006006006,0.009009009009009009
B-WF-ABZ-*-FZW-*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.11764705882352941,0.11764705882352941,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17647058823529413,0.0,0.17647058823529413,0.058823529411764705,0.0
B-WF-ABZ-*-IDZ-*,0.0,0.0,0.058823529411764705,0.0,0.11764705882352941,0.0,0.0,0.058823529411764705,0.0,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.0,0.0,0.23529411764705882,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705882352941,0.0,0.0,0.0,0.0,0.058823529411764705,0.058823529411764705,0.0,0.0,0.0,0.0
B-WF-AK-RE-FEL-*,0.0,0.0,0.020618556701030927,0.010309278350515464,0.030927835051546393,0.010309278350515464,0.010309278350515464,0.030927835051546393,0.0,0.041237113402061855,0.020618556701030927,0.010309278350515464,0.010309278350515464,0.0,0.041237113402061855,0.0,0.010309278350515464,0.010309278350515464,0.010309278350515464,0.0,0.0,0.0,0.020618556701030927,0.0,0.020618556701030927,0.010309278350515464,0.010309278350515464,0.0,0.0,0.010309278350515464,0.010309278350515464,0.030927835051546393,0.0,0.020618556701030927,0.0,0.010309278350515464,0.0,0.0,0.0,0.0,0.010309278350515464,0.010309278350515464,0.0,0.010309278350515464,0.1958762886597938,0.020618556701030927,0.07216494845360824,0.1134020618556701,0.010309278350515464,0.020618556701030927,0.05154639175257732,0.010309278350515464,0.0,0.0,0.0,0.041237113402061855,0.020618556701030927,0.0,0.0,0.0,0.0
B-WF-AK-RE-FKR-*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B-WF-AK-RS-ERx-*,0.027586206896551724,0.006896551724137931,0.006896551724137931,0.0,0.04827586206896552,0.013793103448275862,0.006896551724137931,0.06896551724137931,0.0,0.04827586206896552,0.041379310344827586,0.027586206896551724,0.020689655172413793,0.0,0.22758620689655173,0.0,0.013793103448275862,0.020689655172413793,0.006896551724137931,0.0,0.0,0.034482758620689655,0.006896551724137931,0.006896551724137931,0.0,0.0,0.006896551724137931,0.006896551724137931,0.013793103448275862,0.05517241379310345,0.006896551724137931,0.006896551724137931,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.006896551724137931,0.006896551724137931,0.013793103448275862,0.0,0.027586206896551724,0.013793103448275862,0.04827586206896552,0.006896551724137931,0.0,0.013793103448275862,0.07586206896551724,0.013793103448275862,0.0,0.0,0.0,0.006896551724137931,0.0,0.0,0.0,0.0,0.0
